 ,E2500init,E2500UC,E2500YR1,E3100init,E3100UC,E3100YR1,DDinit,DDUC,DDYR1,DDYR12,DDYR1re2,DGinit,DGUC,DGYR1,DGYR12,DGYR1re2,DuganYR2,EICPYR1C,EICPYR1F,EICPYR1L,EICPYR2C,EICPYR2F,EICPYR2L,LICinit,LICUC,LICYR1,LICYR12,LICYR1re2,LV1init,LV1UC,LV2init,LV2UC,LV3init,LV3UC,LVYR1,LVYR12,LVYR1re2,M1Ginit,M1GUC,M1GYR1,M2Dinit,M2DUC,M2DYR1,M3Dinit,M3DUC,M3DYR1,NDinit,NDUC,NDYR1,NDYR12,NDYR1re2
01648a5695c8859e4189e3e8a7179a60,0,0,0,0,0,0,4,4,1,6,1,0,1,7,13,3,27,0,2,0,0,4,0,4,7,12,6,9,2,5,0,8,0,3,9,4,10,0,0,0,0,0,0,0,0,0,6,6,0,5,6
01655fa161eb628af28c7e04efe500dc,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0168c65a3f93bad0ded12bb3ba60537a,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0177a6b81fe5892c3a908d2002e16ec8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,22,0,0,0,9,0,0,0,0,0,0,0
017d8eaaf6a019550d4763a2132cb393,0,0,0,0,0,0,7,0,0,0,0,10,5,7,7,4,8,3,0,2,4,0,4,4,0,0,0,0,8,0,4,3,8,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0184c4a6c67c4e52f0a3dbaadaac0678,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1
01923bb09fdf53509ac40f707fcd16dd,0,0,0,0,0,0,0,18,14,9,34,0,1,2,4,0,5,0,0,0,0,0,0,3,19,7,5,4,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,5,10,4,2,2
01947976ece4c2b85e4e365d44bfbd79,0,13,0,4,7,0,0,2,3,3,10,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,10,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
01ae58081592ca355a651b08f2d7d095,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01b2d916a9a4c1f81f1e2934c2750de7,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,2,2,0,4,2,4,2,0,0,2,0,4,4,0,0,0,0,0,0
01bfe4b44b16067f0f62e4d4a4ea575d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5
01c0f530f02e2a51f39a365728c0b0aa,3,0,3,529,2,20,87,0,84,11,36,565,0,387,420,391,36,0,0,0,18,1,9,90,0,58,100,39,867,0,296,17,413,0,208,202,151,537,0,406,548,33,539,252,3,424,59,10,26,3,67
01ce1875033d9304dafaa0a92ee43070,0,20,24,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
01e41fc263ac437fd873eb153d932467,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,4,0,3,4,0,2,2,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
01e7873eba93547f3a4bc116b71c433a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,3
01ef38f1cad3d06b64143de582a16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,6
01f7d78aba39b1336a71ab8e365a85e0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,2,8,2,5,4,0,4,7,2,4,2,0,0,0,0,0,0,0,0
