OTUID,taxon,Genus
709d698d830e0fcb803778f1604a9f55,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae,Leptolyngbya
2a8c5cacbe5d3847edf1e8f543fbefde,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
f34bc9ee36d70b70949c3f5c75a93944,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
ece597d63ba59d0cc92d85fa9be45669,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
63eba32bb9314b74c126efd7b4df93cd,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
6dced156727ee15ed37d37f6b3957032,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
3fb9384eb69165d225d7fea791511268,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Lyngbya
69ee74144adabb1569a39b643918f8e5,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Microcoleus
db12467f69ca342c8c170ba4150bb869,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Microcoleus
1f7fbf28a0d478d6c617ba199ff32c92,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Microcoleus
9c7462e78f730b8a6f2eceabe6a43fa5,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Myxacorys
a321c8063010689b46410e2e800b6d6e,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Myxacorys
eea99562925536c9c5b8a10db60ebc4f,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__muscorum,Nostoc
d5b8f9e48d7ac0ba868f7b41c4770e44,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
d71e3186269dbf278246b47c0d51f6f6,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
ed4c390696f428f42de71aafe41ec89c,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
